,0,1,2,3,4,5,6,7
0,2.9813908086841105,1.1291801079877595,2.9701174039286116,2.60289478001949,MMM,1997-01-06,2017-01-01,-0.7772727272727272
1,2.6516744284442186,0.8765924140152384,0.9962968975654276,2.537907335127506,ABT,1997-01-06,2017-01-01,-0.6363636363636364
2,1.326588172411026,1.0412762312930093,3.0,0.5,ABBV,1997-01-06,2017-01-01,-0.7714285714285715
3,1.4749609150189578,3.0,3.0,3.0,ABMD,1997-01-06,2017-01-01,-0.6181818181818182
4,3.0,1.3095294994605764,2.826058022467116,0.5,ACN,1997-01-06,2017-01-01,-0.75
5,3.0,0.5,3.0,2.1424852245967676,ATVI,1997-01-06,2017-01-01,-0.6318181818181818
6,2.4015906248146504,2.9984928763990273,2.7342858047598297,0.7575945359587964,ADBE,1997-01-06,2017-01-01,-0.7363636363636363
7,2.0531162333510284,0.9677047304535841,2.9618850415677427,0.886156380732946,AMD,1997-01-06,2017-01-01,-0.5590909090909091
8,2.975224180918751,0.6403978424075714,2.990310915313113,1.2589093274379928,AAP,1997-01-06,2017-01-01,-0.6036585365853658
9,0.5,0.5,0.5,3.0,AES,1997-01-06,2017-01-01,-0.5454545454545454
10,1.6645908573288222,1.5883306315006203,1.9236966415526984,2.9231474996013134,AFL,1997-01-06,2017-01-01,-0.7545454545454545
11,1.8672077805350582,1.9529820873080257,3.0,0.5,A,1997-01-06,2017-01-01,-0.8449197860962567
12,0.5,2.974507579988788,1.607291498298621,3.0,APD,1997-01-06,2017-01-01,-0.6181818181818182
13,2.3457169200367516,2.7230653292570497,2.9678482556496566,0.7936084742311407,AKAM,1997-01-06,2017-01-01,-0.6276595744680851
14,3.0,2.5297688893368266,0.9315748013460023,0.6541941787803247,ALK,1997-01-06,2017-01-01,-0.759090909090909
15,1.7441591661816234,2.544596102791424,2.0302797366931773,2.428399797156003,ALB,1997-01-06,2017-01-01,-0.19090909090909092
16,3.0,2.284298852926498,3.0,3.0,ARE,1997-01-06,2017-01-01,-0.6759259259259259
17,2.6765855817655724,1.9132473786764874,2.9963509355764297,2.9289417686628556,ALXN,1997-01-06,2017-01-01,-0.6
18,3.0,2.3447949017373273,3.0,0.5,ALGN,1997-01-06,2017-01-01,-0.5086705202312138
19,3.0,2.0841213310621867,1.079083858688287,3.0,ALLE,1997-01-06,2017-01-01,-0.84
20,0.5,0.5,1.4448115502334007,2.8855415683432417,AGN,1997-01-06,2017-01-01,-0.5181818181818182
21,2.985993846363052,2.9817810438608645,2.4365188833145845,2.9722143259179803,ADS,1997-01-06,2017-01-01,-0.5384615384615384
22,2.1391749235896933,2.3271239496689877,3.0,1.2624840568417737,LNT,1997-01-06,2017-01-01,-0.5681818181818182
23,3.0,2.2072375409784692,3.0,3.0,ALL,1997-01-06,2017-01-01,-0.8272727272727273
24,0.5,2.3146171685292423,2.475329693330135,2.433609118810904,GOOGL,1997-01-06,2017-01-01,-0.5909090909090909
25,0.5,2.593281615856806,2.8365421156408037,2.5199311399908377,GOOG,1997-01-06,2017-01-01,-0.6136363636363636
26,0.6071362541012683,0.7689691605525544,2.9323640720093365,0.5742674849490832,MO,1997-01-06,2017-01-01,-0.15
27,0.5,1.3934837415778074,1.3775662447130868,3.0,AMZN,1997-01-06,2017-01-01,-0.4861111111111111
28,2.9873939190858434,2.223089107263,2.823864841365832,2.795291378994003,AMCR,1997-01-06,2017-01-01,-0.6976744186046512
29,2.9866762691234983,0.5324794003423815,1.464544705236652,2.935603765271754,AEE,1997-01-06,2017-01-01,-0.7655502392344498
30,2.977685167871383,2.735514810608437,0.6424026474384952,2.7998999766206123,AAL,1997-01-06,2017-01-01,-0.5714285714285714
31,1.6409365427512612,1.4199962189239077,2.997282768934232,2.8592462569582513,AEP,1997-01-06,2017-01-01,-0.6181818181818182
32,2.988010076105047,1.6960548052165962,0.5114263405843351,2.979608278674727,AXP,1997-01-06,2017-01-01,-0.7954545454545454
33,2.887482013136879,0.9962243275984377,3.0,0.5,AIG,1997-01-06,2017-01-01,-0.6681818181818182
34,1.6645908573288222,1.5883306315006203,1.9236966415526984,2.9231474996013134,AMT,1997-01-06,2017-01-01,-0.5458937198067633
35,2.902844354832535,1.8196888769670125,1.1398892790635071,1.3255460219725743,AWK,1997-01-06,2017-01-01,-1.0
36,2.3457169200367516,2.7230653292570497,2.9678482556496566,0.7936084742311407,AMP,1997-01-06,2017-01-01,-0.7833333333333333
37,1.175723634222864,1.8850057178173292,2.67196344926263,0.5034257947515642,ABC,1997-01-06,2017-01-01,-0.6318181818181818
38,2.9296891510705185,0.811509303072754,2.9111509964977844,0.5096319336479032,AME,1997-01-06,2017-01-01,-0.18181818181818182
39,1.0313295469641077,2.971303531063243,2.626237891281715,2.843488929019303,AMGN,1997-01-06,2017-01-01,-0.75
40,3.0,2.772220773124569,3.0,3.0,APH,1997-01-06,2017-01-01,-0.6909090909090909
41,2.533188814320408,2.4882204384119815,3.0,1.351843008835179,ADI,1997-01-06,2017-01-01,-0.7272727272727273
42,2.2029980994955585,2.9312584548628142,0.6236000181387931,2.943121457562389,ANSS,1997-01-06,2017-01-01,-0.4863636363636364
43,2.7606824462074577,1.9311992974749088,3.0,0.9531913032463784,ANTM,1997-01-06,2017-01-01,-0.7515151515151515
44,0.5,1.882139813391965,2.6789611248486223,0.9166765001309949,AON,1997-01-06,2017-01-01,-0.7272727272727273
45,1.4609169075854858,0.5011389795091512,1.464900456994254,2.923626792589891,AOS,1997-01-06,2017-01-01,-0.5136363636363637
46,3.0,1.2235420150302025,3.0,3.0,APA,1997-01-06,2017-01-01,-0.5954545454545455
47,1.7060988901832563,2.9998572915170656,1.6937387552890275,1.5775667965290563,AIV,1997-01-06,2017-01-01,-0.6454545454545455
48,3.0,3.0,3.0,1.62571856721885,AAPL,1997-01-06,2017-01-01,-0.5227272727272727
49,2.189445738031531,0.6115814755615389,0.6571691359234834,2.9844820034866517,AMAT,1997-01-06,2017-01-01,-0.7863636363636364
50,3.0,0.5,0.5,3.0,APTV,1997-01-06,2017-01-01,-0.875
51,0.5,2.244913446737752,2.932886563411154,0.9328924981282507,ADM,1997-01-06,2017-01-01,-0.7363636363636363
